university,career,inscription_date,name,gender,age,location,email
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIA_POLÍTICA_,15-Sep-20,JONATHAN_HARRIS_MD,M,05-Oct-15,CIUDAD_MADERO,RICHARD21@HOTMAIL.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_PLANIFICACIÓN_Y_DISEÑO_DEL_PAISAJE,20-Sep-20,JAMIE_HARRELL,F,18-Sep-67,VILLA_ADELINA,JDALTON@HOTMAIL.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_SOCIOLOGÍA_,26-Dec-20,ROGER_GREGORY,M,22-May-87,CANDELARIA,JUANMAY@HOTMAIL.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIAS_DE_LA_COMPUTACIÓN,29-Oct-20,BRITTANY_LANDRY,F,20-Feb-08,AGUA_SEBALLE,ITORRES@YAHOO.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,BIOQUÍMICA,26-Oct-20,DANIELLE_WHEELER,F,25-Aug-61,BERMUDEZ,TIFFANYWASHINGTON@HOTMAIL.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIAS_GEOLÓGICAS,06-Oct-20,REBECCA_BENSON,F,06-Oct-51,ATALIVA_ROCA,JMONROE@HOTMAIL.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,ACTUARIO_,20-Jan-21,KELSEY_WARD,F,23-Mar-00,AERO_CLUB_ROSARIO,VERONICALEWIS@GMAIL.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,DISEÑO_DE_IMAGEN_Y_SONIDO,24-Nov-20,CHRISTINE_MITCHELL,F,25-Sep-12,SAN_NICOLAS_DE_LOS_ARROYOS,MALONEJOSEPH@HOTMAIL.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIAS_AMBIENTALES,16-Sep-20,MICHAEL_NIELSEN,M,21-Nov-18,ABRA_DEL_TRIGO,FFLORES@GMAIL.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIA_POLÍTICA_,17-Jan-21,JESSICA_LI,F,02-Apr-54,RIO_TALA,XGOLDEN@HOTMAIL.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,ARQUITECTURA,22-Oct-20,TODD_MENDOZA,M,29-Jan-48,KILOMETRO_208,JBAKER@HOTMAIL.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,DISEÑO_DE_IMAGEN_Y_SONIDO,30-Dec-20,PEGGY_MEYER,F,01-Jan-41,GOBERNADOR_DUVAL,SABRINA38@HOTMAIL.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIAS_BIOLÓGICAS,26-Nov-20,RYAN_BROWN,M,02-Feb-98,AGUADA_DE_PIEDRA,CALEB20@YAHOO.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_PLANIFICACIÓN_Y_DISEÑO_DEL_PAISAJE,12-Sep-20,JOANN_BENNETT,F,22-Sep-30,CALEUFU,CNICHOLSON@HOTMAIL.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,CIENCIAS_VETERINARIAS,07-Jan-21,WILLIAM_CONLEY,M,27-Aug-84,ABRA_DEL_TRIGO,CHUBBARD@HOTMAIL.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,ARQUITECTURA,09-Nov-20,JOSEPH_ROSALES,M,04-Dec-65,FORTIN_CHACO,BPEARSON@HOTMAIL.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_SOCIOLOGÍA_,05-Nov-20,JOHN_MUNOZ,M,28-Aug-53,CHALLACO,MARTINEZALICIA@YAHOO.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIAS_DE_LA_COMPUTACIÓN,09-Sep-20,ANDREA_WALKER,F,03-Mar-09,CALVO,COOKMARGARET@HOTMAIL.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,INGENIERÍA_EN_INFORMÁTICA,04-Sep-20,PATRICK_CONNER,M,19-Oct-32,COLONIA_SANTA_TERESA,MICHAEL16@YAHOO.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIAS_ANTROPOLÓGICAS,18-Nov-20,LARRY_OBRIEN,M,25-Feb-98,ABRA_DE_PIVES,KATHLEENHERRERA@GMAIL.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIAS_BIOLÓGICAS,28-Oct-20,DEBRA_HOWARD,F,19-Jun-42,ISLA_GRANDE,SMITHCHRISTINE@HOTMAIL.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_SOCIOLOGÍA_,28-Oct-20,MICHAEL_REYES,M,04-May-54,BAJO_GUAZU,KHILL@HOTMAIL.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_PLANIFICACIÓN_Y_DISEÑO_DEL_PAISAJE,12-Nov-20,DAVID_HOWARD,M,03-Dec-29,EL_CHUMBEAU,WENDYSIMPSON@YAHOO.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,INGENIERÍA_ELECTRÓNICA,22-Nov-20,TIMOTHY_JONES,M,13-Jan-09,ARROYO_LAS_MINAS,SHAWN63@YAHOO.COM
